
food,calories,protein,carbs,fat,sugar,sodium,gi

White Rice,130,2.7,28.0,0.3,0.1,1,60
Brown Rice,123,2.6,25.6,1.0,0.4,5,55
Oats,389,16.9,66.3,6.9,0.9,2,55
Apple,52,0.3,14.0,0.2,10.4,1,38
Banana,89,1.1,23.0,0.3,12.2,1,60
Milk,42,3.4,5.0,1.0,5.0,44,35
Egg,155,13.0,1.1,11.0,1.1,124,40
Chicken Breast,165,31.0,0.0,3.6,0.0,74,0
Almonds,579,21.0,22.0,50.0,4.4,1,15
Paneer,265,18.0,1.2,20.0,0.8,22,30

Wheat Bread (Brown),247,13.0,41.0,4.2,6.0,400,65
White Bread,266,8.9,49.0,3.2,5.0,490,75
Boiled Potato,87,1.9,20.1,0.1,0.9,7,65
Sweet Potato,90,2.0,21.0,0.2,4.2,36,55
Carrot (Raw),41,0.9,10.0,0.2,4.7,69,35
Tomato (Raw),18,0.9,3.9,0.2,2.6,5,15
Spinach (Cooked),23,3.0,3.8,0.3,0.4,79,15
Broccoli (Cooked),35,2.4,7.2,0.4,1.4,41,15
Orange,47,0.9,12.0,0.1,9.4,0,40
Papaya,43,0.5,11.0,0.3,7.8,8,35
Peanuts (Roasted),585,25.8,16.1,49.7,4.7,6,15
Cashew Nuts,553,18.2,30.2,43.8,5.9,12,25
Yogurt (Plain),59,10.0,3.6,0.4,3.2,36,35
Cheese (Low-fat),196,28.0,2.0,7.0,0.5,705,30
Tofu,76,8.0,1.9,4.8,0.3,7,15

Idli,58,2.0,12.0,0.4,0.5,120,40
Dosa,168,4.0,28.0,3.7,1.0,220,60
Chapati,120,3.5,18.0,3.0,0.8,180,45
Poha,180,3.0,36.0,2.5,1.5,200,60
Sambar,76,4.0,10.0,2.0,1.2,300,40
Curd,61,3.1,4.7,3.3,3.0,80,35
Dal,104,7.0,18.0,0.8,1.2,150,35
Vegetable Curry,90,2.5,10.0,4.0,1.0,180,40
Fish Curry,140,20.0,5.0,5.0,0.5,300,40
Chicken Curry,190,22.0,4.0,7.5,0.5,350,40

Rice Gruel (Kanji),40,0.8,8.0,0.1,0.2,30,30
Vegetable Upma,210,5.0,35.0,5.0,1.8,220,55
Masala Dosa,250,6.0,38.0,8.0,2.0,300,65
Plain Rice (Cooked),130,2.7,28.0,0.3,0.1,1,60
Lemon Rice,210,4.0,36.0,6.0,1.5,250,60
Curd Rice,170,4.0,28.0,4.5,2.5,220,55
Vegetable Pulao,230,5.5,40.0,6.0,2.0,260,60
Rajma Curry,140,9.0,22.0,3.0,1.5,240,40
Chole Curry,160,8.5,24.0,4.0,1.8,260,45
Vegetable Khichdi,150,6.0,25.0,3.5,1.5,180,45
Palak Paneer,220,11.0,8.0,16.0,2.0,300,35
Egg Curry,180,12.0,6.0,12.0,1.0,280,40
Fish Fry (Shallow),220,24.0,2.0,12.0,0.5,350,70
Chicken Fry,260,26.0,3.0,18.0,0.5,400,0
Vegetable Stir Fry,120,3.0,14.0,5.0,1.0,180,40

labeled old data//
food,calories,protein,carbs,fat,sugar,sodium,gi,diabetes_label,hypertension_label,cvd_label,pcos_label,obesity_label,meal_type,target_audience,food_type
Idli (2) w/ 1 Bowl Sambar & 1 tbsp Coconut Chutney,340,10.0,42.0,14.0,2.0,450,50,Recommended,Moderate,Recommended,Recommended,Recommended,Breakfast,All,Veg
Dosa (1 Medium) w/ 1 Bowl Sambar & 1 tbsp Chutney,380,8.0,52.0,14.0,2.0,480,55,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,All,Veg
Oats Porridge (1 Large Bowl) w/ 1 tbsp Nuts & Seeds,350,14.0,45.0,12.0,4.0,120,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Seniors,Veg
Veg Upma (1 Cup) w/ 1 tbsp Roasted Peanuts,320,9.0,48.0,10.0,1.8,300,55,Recommended,Moderate,Moderate,Moderate,Moderate,Breakfast,Seniors,Veg
Poha (1 Plate) w/ 1 tbsp Peanuts & 1/2 Cup Sprout Salad,380,10.0,55.0,12.0,2.0,250,60,Moderate,Moderate,Recommended,Moderate,Moderate,Breakfast,All,Veg
Boiled Eggs (2) w/ 2 Multigrain Toast,360,18.0,32.0,16.0,1.5,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg
Masala Omelette (2 Eggs) & 2 Toast,420,22.0,30.0,22.0,2.0,500,55,Moderate,Moderate,Moderate,Recommended,Moderate,Breakfast,Adults,Non-Veg
Millet Dosa (2) w/ 1 tbsp Coconut Chutney,320,8.0,45.0,10.0,1.5,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg
Methi Thepla (2) w/ Curd & Pickle,260,6.0,35.0,10.0,2.0,350,50,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg
Multigrain Sandwich (Paneer/Veg),340,14.0,40.0,12.0,3.0,450,55,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg
Ragi Porridge w/ Jaggery & Milk,240,6.0,45.0,4.0,12.0,80,55,Moderate,Recommended,Recommended,Moderate,Recommended,Breakfast,Seniors,Veg
Moong Dal Chilla (2) w/ Paneer Stuffing,320,16.0,34.0,12.0,1.0,300,40,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,All,Veg
Scrambled Eggs (3) w/ Spinach & Toast,340,21.0,22.0,18.0,1.0,400,45,Recommended,Recommended,Recommended,Recommended,Recommended,Breakfast,Adults,Non-Veg
Aloo Paratha (1 Large) w/ Curd & Butter,450,8.0,55.0,20.0,3.0,450,70,Moderate,Moderate,Moderate,Moderate,Moderate,Breakfast,Kids,Veg
Brown Rice (1 Cup) w/ 1 Bowl Dal & 1 Cup Cucumber Salad,460,16.0,68.0,12.0,2.0,400,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg
Curd Rice (1 Bowl) w/ 1 tbsp Pomegranate & Tadka,340,10.0,45.0,12.0,4.0,250,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,Seniors,Veg
Chapati (2) w/ 1 Bowl Bhindi Fry & 1 Bowl Dal,440,16.0,58.0,14.0,2.0,450,50,Recommended,Recommended,Recommended,Recommended,Recommended,Lunch,All,Veg
